"","SampleID","Day","Month","Year","Date","Site","Period","bloom2","Total_Phosphorus_ug","Phosph_Range","Nitrog_Range","Total_Nitrogen_mg","Temperature_Water_Celsius","Dissolved_P","Dissolved_N","Cumulative_precipitation_t1_t7_mm","Profondeur_Secchi_cm","Mean_temperature_t0_t7","Microcystin_ug_L","Description"
"133","05-06-2013-1","05","June","2013",2013-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0323.05-06-2013-1"
"134","05-06-2013-2","05","June","2013",2013-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0324.05-06-2013-2"
"135","03-07-2013-1","03","July","2013",2013-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0325.03-07-2013-1"
"136","03-07-2013-2","03","July","2013",2013-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0326.03-07-2013-2"
"137","16-08-2013-1","16","August","2013",2013-08-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0327.16-08-2013-1"
"138","16-08-2013-2","16","August","2013",2013-08-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0328.16-08-2013-2"
"139","27-08-2013-1","27","August","2013",2013-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0329.27-08-2013-1"
"140","17-09-2013-1","17","September","2013",2013-09-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0330.17-09-2013-1"
"141","17-09-2013-2","17","September","2013",2013-09-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0331.17-09-2013-2"
"142","23-10-2013-1","23","October","2013",2013-10-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0332.23-10-2013-1"
"143","23-10-2013-2","23","October","2013",2013-10-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0333.23-10-2013-2"
"144","19-03-2015-p1","19","March","2015",2015-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0334.19-03-2015-p1"
"145","19-03-2015-p2","19","March","2015",2015-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0335.19-03-2015-p2"
"146","19-03-2015-L1","19","March","2015",2015-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0336.19-03-2015-L1"
"147","19-03-2015-L2","19","March","2015",2015-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0337.19-03-2015-L2"
"148","30-06-2015-p1","30","June","2015",2015-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0338.30-06-2015-p1"
"149","30-06-2015-L2","30","June","2015",2015-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0339.30-06-2015-L2"
"150","16-07-2015-p1","16","July","2015",2015-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0340.16-07-2015-p1"
"151","16-07-2015-L1","16","July","2015",2015-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0341.16-07-2015-L1"
"152","28-07-2015-1","28","July","2015",2015-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0342.28-07-2015-1"
"153","28-07-2015-2","28","July","2015",2015-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0343.28-07-2015-2"
"154","30-07-2015-1","30","July","2015",2015-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0344.30-07-2015-1"
"155","30-07-2015-2","30","July","2015",2015-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0345.30-07-2015-2"
"156","31-07-2015-2","31","July","2015",2015-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0346.31-07-2015-2"
"157","04-08-2015-1","04","August","2015",2015-08-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0347.04-08-2015-1"
"158","04-08-2015-2","04","August","2015",2015-08-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0348.04-08-2015-2"
"159","05-08-2015-L3","05","August","2015",2015-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0349.05-08-2015-L3"
"160","06-08-2015-2","06","August","2015",2015-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0350.06-08-2015-2"
"161","10-08-2015-1","10","August","2015",2015-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0351.10-08-2015-1"
"162","10-08-2015-2","10","August","2015",2015-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0352.10-08-2015-2"
"163","12-08-2015-1","12","August","2015",2015-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0353.12-08-2015-1"
"164","12-08-2015-2","12","August","2015",2015-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0354.12-08-2015-2"
"165","13-08-2015-1","13","August","2015",2015-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0355.13-08-2015-1"
"166","13-08-2015-2","13","August","2015",2015-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0356.13-08-2015-2"
"167","03-09-2015-2","03","September","2015",2015-09-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0357.03-09-2015-2"
"168","16-09-2015-1","16","September","2015",2015-09-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0358.16-09-2015-1"
"169","16-09-2015-2","16","September","2015",2015-09-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0359.16-09-2015-2"
"170","21-10-2015-1","21","October","2015",2015-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0360.21-10-2015-1"
"171","21-10-2015-2","21","October","2015",2015-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0361.21-10-2015-2"
"172","19-07-2016","19","19-July-2016","07",2016-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0362.19-07-2016"
"173","20-07-2016","20","20-July-2016","07",2016-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0363.20-07-2016"
"174","25-07-2016","25","25-July-2016","07",2016-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0364.25-07-2016"
"175","27-07-2016","27","27-July-2016","07",2016-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0365.27-07-2016"
"176","01-08-2016","01","01-August-2016","08",2016-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0366.01-08-2016"
"177","09-08-2016","09","September-August-2016","08",2016-08-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0367.09-08-2016"
"178","18-08-2016","18","18-August-2016","08",2016-08-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0368.18-08-2016"
"179","23-08-2016","23","23-August-2016","08",2016-08-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0369.23-08-2016"
"180","03-09-2016","03","March-September-2016","09",2016-09-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0370.03-09-2016"
"181","15-09-2016","15","15-September-2016","09",2016-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0371.15-09-2016"
"182","22-09-2016","22","22-September-2016","09",2016-09-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0372.22-09-2016"
"183","25-10-2016","25","25-October-2016","10",2016-10-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0373.25-10-2016"
